Category,Skills
mobile application developer,"cocoa touch, app analytics, jira, app security, app store optimization (aso), apis, android studio, mobile sdk"
full stack developer,"api integration, c#, git, node.js, containerization"
cyber security,"system hardening, security policies, web application security, zero trust architecture, rhel security, threat detection, soc, ransomware protection, kali linux"
cloud engineer,"containers, cloud infrastructure, git, networking, cloud identity management"
data analyst,"data extraction, data automation, data reporting, etl pipelines, data warehousing, seaborn, sql reporting, customer insights"
software engineer,"firebase, vue.js, ansible, distributed systems, linux, oauth, data analysis, azure, html"
network engineer,"network troubleshooting tools, security, network security, cisco ccnp, junos, cloud networking, network performance optimization, mpls, scripting, wireless networks"
cyber security,"apt, two-factor authentication, web application security, single sign-on (sso), cissp"
big data engineer,"distributed computing, data architecture, distributed data systems, data warehousing, hdfs, data management tools, pig, data governance"
ui/ux designer,"ui/ux strategy, responsive web design, css flexbox, ui animation, storytelling, html/css, user research, trello"
big data engineer,"cloud data solutions, big data modeling, cassandra, pig, data redundancy, data visualization, aws emr, data engineering, etl tools"
backend developer,"mongodb, nginx, oauth, continuous deployment, express.js"
software engineer,"kubernetes, webassembly, java, penetration testing, scrum, spring boot, nosql"
artificial intelligence,"ai solutions, deep learning, ai productization, speech recognition, data mining, nlp, support vector machines (svm), seaborn, ai algorithms"
software engineer,"mysql, ansible, jira, tensorflow, linux, c#, scrum"
mobile application developer,"app updates, app lifecycle management, app refactoring, objective-c, mobile sdk, restful apis"
iot developer,"telemetry systems, vhdl, java, communication protocols, ai algorithms, cybersecurity (iot)"
machine learning,"speech recognition, convolutional neural networks (cnn), nlp techniques, generative adversarial networks (gans), classification algorithms, xgboost, docker"
artificial intelligence,"natural language understanding (nlu), hadoop, spark, artificial neural networks (ann), ai algorithms, xgboost, matplotlib, aws, random forest, r"
data analyst,"data automation, data analytics, data architecture, power query, gcp, a/b testing, data warehousing, power pivot, data reporting, sas"
data analyst,"kaggle, google bigquery, jupyter notebooks, data visualization, seaborn, data governance, excel, sql server, data wrangling, sql"
big data engineer,"real-time analytics, cloud data engineering, java, spark, nosql databases, aws redshift, data storage, distributed data systems, big data frameworks"
big data engineer,"nosql, sql, data analytics, yarn, data streaming, cloud storage, graph databases, mongodb"
data analyst,"data automation, data cleansing, data modeling, data collection, data reporting, excel, power query, data warehousing, data science, kaggle"
data scientist,"supervised learning, data governance, spark, seaborn, logistic regression, python, feature engineering, computer vision, power bi"
mobile application developer,"app design, ios sdk, mobile app backend, ui/ux prototyping, flutter, uikit, app debugging tools, react native, ui/ux design, app security"
network engineer,"packet tracer, access control lists (acls), python, snmp, qos, ip addressing"
backend developer,"c#, ci/cd pipeline, ruby, elasticsearch, postgresql, cloud infrastructure, junit testing, websockets, jwt authentication, devops"
artificial intelligence,"pytorch, robotic process automation (rpa), supervised learning, tensorflow, artificial neural networks (ann), reinforcement learning algorithms, automl, ai optimization, ai in autonomous vehicles, ai-driven analytics"
big data engineer,"data architecture, java mapreduce, apache hive, apache kafka, data pipeline, scala"
database developer,"data storage solutions, olap, database high availability, database security audits, power bi, xml, graph databases, dynamodb"
full stack developer,"jwt, aws, postgresql, functional programming, cross-browser compatibility, javascript, serverless architecture"
big data engineer,"nosql, data governance, real-time analytics, data modeling, hdfs, data pipeline automation, aws emr"
artificial intelligence,"machine learning operations (mlops), python, support vector machines (svm), unsupervised learning, data science, random forest, ai algorithms, data visualization"
backend developer,"sql query optimization, behavior-driven development, aws, jwt, node.js, ci/cd pipeline"
web developer,"sublime text, google cloud, chai, node.js, apache, azure"
backend developer,"full-stack development, nginx, load balancing, jenkins, cloud security, data structures, event-driven architecture"
information technology,"vpn configuration, server configuration, networking, ssl/tls, aws s3, jenkins, aws, vmware vsphere, data center management, data encryption"
iot developer,"iot cloud analytics, iot hardware, iot device management, iot sensors, rest apis"
artificial intelligence,"data mining, ai in gaming, ai-driven analytics, tensorflow, artificial neural networks (ann)"
cyber security,"splunk, apt, burp suite, compliance auditing, malware reverse engineering, siem"
artificial intelligence,"ai for finance, ai for healthcare, robotic process automation (rpa), xgboost, machine learning operations (mlops)"
information technology,"citrix, troubleshooting, database management, nginx, load balancing"
artificial intelligence,"deep learning, artificial neural networks (ann), model evaluation, deep learning algorithms, pytorch, robotic process automation (rpa)"
database developer,"database clustering, database backup, replication, couchdb, data access management, google bigquery"
backend developer,"data modeling, apis, ruby, python, load balancing, api documentation, flask, php, express.js, jenkins"
